0	0.01248	75.5267	23.1781	0	0	0	0	0	0	0	0	0	1.2827	0
10.3	10.5	3.1	74.9	0.2	0	0.2	0.3	0.3	0	0	0	0	0.2	0
8.4	60.4	1.7	17.3	0	11.4	0	0	0.1	0	0	0	0	0	0.7
10.2	10.8	3.2	74.8	0.1	0	0.1	0.2	0.3	0.2	0	0.1	0	0	0
10.2	14.3	3.4	71	0.1	0.2	0	0.3	0.1	0.4	0	0	0	0	0
11.6	68.1	0.2	19.8	0.1	0	0	0.1	0.1	0	0	0	0	0	0
11.4	58.8	0.8	28.7	0.1	0	0	0.1	0.1	0	0	0	0	0	0
11.2	51.7	1.3	35.5	0.1	0	0	0.1	0.1	0	0	0	0	0	0
11.19	0	0	88.81	0	0	0	0	0	0	0	0	0	0	0
10.6	32.4	3	53.5	0.1	0	0.1	0.2	0.1	0	0	0	0	0	0
10.7	14.3	2.3	71.3	0.2	0	0.4	0.2	0.3	0.3	0	0	0	0	0
10.200 	14.2	3.4	71.1	0.1	0	0.2	0.3	0.1	0.4	0	0	0	0	0
10.2	13.2	3.1	72.3	0.2	0	0.2	0.3	0.2	0.3	0	0	0	0	0
9.600 	9.9	2.2	74.4	0.5	0	2.2	0.9	0.3	0	0	0	0	0	0
7.000 	34.500 	2.800 	36.800 	0.100 	0.100 	5.500 	0.200 	0.100 	0	12.900 	0	0	0	0
5.6	23.5	4	43.4	0.1	0.1	7.2	0.3	0.1	0.1	15.6	0	0	0	0
3.400 	15.500 	4.200 	43.500 	0.300 	0	10.300 	0.300 	0	0	22.5	0	0	0	0
2.3	9.5	2.9	42.6	0	0.7	13.5	0	0	0	28.5	0	0	0	0

